Instrument,earningsGrowth_rank,revenueGrowth_rank,profitMargins_rank,grossMargins_rank,returnOnEquity_rank,returnOnAssets_rank,priceToBook_rank,forwardPE_rank,dividendYield_rank,Close_10_%_D_rank,10_50_%_D_rank,50_200_%_D_rank
LPGO,,,1.0,1.0,9.0,4.0,77.0,,,99.0,96.0,8.0
LIPUM,,,40.0,6.0,,0.0,1.0,,,6.0,13.0,56.0
LARK,,3.0,40.0,6.0,18.0,14.0,83.0,,91.0,64.0,,
MAGLE,,93.0,51.0,95.0,51.0,49.0,72.0,56.0,,13.0,34.0,20.0
MAGNA,,,40.0,6.0,,8.0,96.0,,,8.0,0.0,2.0
MEDHLP,,49.0,59.0,57.0,81.0,84.0,24.0,42.0,,92.0,90.0,89.0
MODTX,,,40.0,6.0,3.0,2.0,99.0,83.0,,58.0,8.0,49.0
NANEXA,,9.0,10.0,69.0,24.0,20.0,31.0,60.0,,38.0,77.0,89.0
NANECH,,,1.0,85.0,,,73.0,,,57.0,6.0,6.0
NEOLA,,11.0,7.0,95.0,33.0,27.0,47.0,,,37.0,45.0,47.0
NEWBRY,,97.0,17.0,55.0,24.0,25.0,63.0,,,11.0,55.0,19.0
NXTCL,,81.0,40.0,2.0,13.0,9.0,59.0,,,17.0,29.0,4.0
ONCOZ,,,2.0,100.0,18.0,13.0,13.0,96.0,,97.0,93.0,39.0
ORTI-A,,19.0,16.0,36.0,1.0,19.0,99.0,,,93.0,44.0,51.0
ORTI-B,,19.0,16.0,36.0,1.0,19.0,98.0,,,24.0,17.0,22.0
ORT-B,,97.0,77.0,59.0,61.0,63.0,39.0,19.0,,74.0,86.0,89.0
OSSD,,88.0,16.0,97.0,26.0,24.0,18.0,95.0,,21.0,79.0,92.0
PAX,,63.0,70.0,73.0,72.0,89.0,20.0,29.0,,42.0,62.0,80.0
PERP-B,,94.0,10.0,46.0,18.0,17.0,33.0,,,97.0,41.0,
PILA,,2.0,40.0,100.0,4.0,3.0,7.0,,,96.0,28.0,14.0
PILA-BTU,,,,,,,,,,,,
PRO,,59.0,18.0,98.0,29.0,29.0,24.0,,,25.0,10.0,12.0
PLUN,,53.0,4.0,73.0,19.0,14.0,96.0,,,0.0,1.0,2.0
PROGEN,,2.0,40.0,6.0,6.0,4.0,94.0,90.0,,7.0,3.0,1.0
QLIFE,,,40.0,3.0,,22.0,100.0,93.0,,2.0,99.0,76.0
QUIA,,,40.0,80.0,3.0,12.0,90.0,,,6.0,1.0,3.0
S2M,,82.0,92.0,97.0,97.0,96.0,84.0,,,89.0,4.0,87.0
SDOS,,45.0,42.0,82.0,48.0,44.0,54.0,69.0,,66.0,50.0,25.0
CMOTEC-B,,91.0,3.0,79.0,3.0,5.0,10.0,,,83.0,52.0,89.0
HEART,,98.0,40.0,100.0,17.0,12.0,89.0,,,13.0,16.0,28.0
SCOL,,,40.0,6.0,4.0,2.0,95.0,80.0,,1.0,0.0,1.0
SCIB,,83.0,1.0,79.0,3.0,2.0,38.0,85.0,,36.0,22.0,41.0
SENZA,,33.0,16.0,74.0,26.0,28.0,51.0,97.0,,9.0,64.0,22.0
SPAGO,,51.0,40.0,1.0,8.0,4.0,27.0,86.0,,60.0,96.0,76.0
STABL,,,40.0,100.0,9.0,4.0,38.0,,,36.0,22.0,23.0
STIL,63.0,29.0,76.0,61.0,67.0,86.0,36.0,31.0,,81.0,72.0,47.0
SUS,74.0,78.0,82.0,76.0,54.0,56.0,55.0,17.0,,15.0,58.0,61.0
TOL,,56.0,15.0,5.0,39.0,32.0,80.0,,,34.0,70.0,35.0
XINT,,7.0,40.0,100.0,,1.0,99.0,,,23.0,10.0,68.0
XPC,,93.0,40.0,99.0,25.0,16.0,37.0,,,80.0,56.0,99.0
ABSO,6.0,23.0,70.0,49.0,75.0,84.0,38.0,44.0,19.0,87.0,65.0,23.0
ACUVI,28.0,61.0,84.0,69.0,68.0,66.0,62.0,89.0,,10.0,86.0,65.0
AXOLOT,,95.0,40.0,88.0,23.0,26.0,52.0,,,75.0,85.0,90.0
BAWAT,,6.0,1.0,3.0,,7.0,98.0,,,94.0,4.0,16.0
BOMILL,,17.0,6.0,70.0,9.0,8.0,23.0,,,40.0,58.0,9.0
CALVIK,11.0,89.0,49.0,10.0,81.0,76.0,46.0,73.0,,95.0,,
CARE,17.0,38.0,63.0,48.0,66.0,76.0,67.0,51.0,,6.0,60.0,48.0
CI,,5.0,0.0,8.0,21.0,17.0,95.0,81.0,,3.0,2.0,2.0
DLAB,,33.0,23.0,18.0,12.0,18.0,17.0,,,42.0,34.0,67.0
ESGR-B,,78.0,31.0,29.0,,,82.0,74.0,,40.0,54.0,16.0
FERRO,,10.0,4.0,3.0,7.0,9.0,90.0,4.0,,76.0,12.0,2.0
FIRE,50.0,47.0,76.0,45.0,94.0,97.0,20.0,,49.0,68.0,50.0,59.0
FLEXQ,,18.0,19.0,60.0,17.0,23.0,41.0,75.0,,30.0,97.0,16.0
FREEM,,13.0,2.0,93.0,22.0,16.0,51.0,87.0,,86.0,97.0,89.0
GPX,,9.0,20.0,90.0,24.0,26.0,35.0,6.0,,56.0,26.0,30.0
GOTL-A,,87.0,56.0,34.0,51.0,49.0,63.0,,7.0,80.0,62.0,76.0
GOTL-B,,87.0,56.0,34.0,51.0,49.0,64.0,,7.0,46.0,67.0,78.0
GGEO,,81.0,51.0,75.0,57.0,59.0,77.0,,,60.0,39.0,73.0
HEGR,95.0,23.0,40.0,8.0,46.0,45.0,95.0,,87.0,9.0,2.0,6.0
HELIO,,4.0,9.0,16.0,5.0,10.0,40.0,82.0,,72.0,18.0,11.0
HILB-B,,,40.0,6.0,,,,,,98.0,100.0,93.0
IDUN-B,91.0,47.0,46.0,68.0,66.0,77.0,19.0,20.0,1.0,53.0,29.0,82.0
LXB,,99.0,5.0,83.0,17.0,13.0,43.0,,,83.0,17.0,26.0
LYGRD,,41.0,28.0,41.0,10.0,36.0,21.0,,,69.0,71.0,93.0
MANTEX,,5.0,40.0,100.0,9.0,6.0,79.0,,,85.0,46.0,8.0
NEPA,,21.0,29.0,17.0,28.0,28.0,42.0,63.0,87.0,80.0,74.0,44.0
NJOB,,,99.0,35.0,100.0,100.0,43.0,,99.0,5.0,13.0,98.0
LEVEL,,71.0,32.0,54.0,37.0,37.0,80.0,64.0,,99.0,88.0,15.0
NOTEK,,96.0,75.0,49.0,82.0,90.0,40.0,,,77.0,92.0,93.0
OGUN-B,10.0,28.0,54.0,14.0,87.0,90.0,31.0,68.0,89.0,15.0,23.0,39.0
OPTI,,84.0,3.0,67.0,32.0,25.0,83.0,93.0,,14.0,22.0,23.0
OXE,,76.0,14.0,34.0,10.0,21.0,66.0,86.0,,38.0,16.0,28.0
PCOM-B,,22.0,38.0,48.0,38.0,70.0,77.0,,,57.0,17.0,23.0
RLOS-B,,4.0,3.0,68.0,13.0,10.0,48.0,,,10.0,54.0,81.0
RO,,16.0,17.0,44.0,33.0,29.0,26.0,96.0,,99.0,99.0,74.0
SAXG,,10.0,32.0,34.0,22.0,39.0,69.0,,,13.0,7.0,57.0
SES,,2.0,39.0,59.0,46.0,40.0,54.0,92.0,,29.0,23.0,5.0
SERT,,79.0,22.0,75.0,31.0,28.0,49.0,,,19.0,6.0,11.0
SIBEK,9.0,33.0,80.0,30.0,96.0,99.0,18.0,,54.0,13.0,82.0,22.0
SILEON,,6.0,40.0,0.0,2.0,12.0,87.0,90.0,,99.0,3.0,7.0
SEYE,,49.0,11.0,94.0,33.0,27.0,53.0,97.0,,60.0,82.0,77.0
SUMMAS,,,40.0,6.0,,,,,,19.0,,
TEQ,83.0,52.0,67.0,52.0,79.0,70.0,34.0,,,86.0,55.0,27.0
TERNOR,,,40.0,6.0,,,52.0,,,44.0,,
TRAIN-B,77.0,52.0,77.0,30.0,51.0,50.0,70.0,20.0,18.0,79.0,41.0,37.0
VSSAB-B,,29.0,34.0,60.0,47.0,52.0,79.0,,,51.0,32.0,84.0
VIMAB,,19.0,18.0,21.0,2.0,18.0,4.0,,,57.0,12.0,20.0
W5,,28.0,30.0,68.0,40.0,33.0,38.0,11.0,,19.0,40.0,86.0
WPAY,,56.0,32.0,93.0,16.0,40.0,9.0,,,98.0,96.0,87.0
AXIC-A,,97.0,4.0,92.0,25.0,21.0,40.0,,,43.0,91.0,97.0
CINIS,,100.0,5.0,6.0,14.0,25.0,93.0,65.0,,1.0,3.0,0.0
CLEM,91.0,60.0,52.0,39.0,64.0,70.0,67.0,5.0,,58.0,13.0,90.0
ITECH,82.0,84.0,87.0,63.0,92.0,98.0,18.0,21.0,12.0,50.0,52.0,95.0
IMPC,,95.0,20.0,64.0,32.0,29.0,50.0,96.0,,87.0,86.0,16.0
LCLEAN,,30.0,9.0,53.0,,8.0,97.0,82.0,,10.0,3.0,0.0
ORGC,,29.0,22.0,24.0,20.0,31.0,17.0,99.0,,7.0,23.0,18.0
PCAT,,14.0,21.0,45.0,28.0,33.0,23.0,,,47.0,53.0,30.0
POLYG,,67.0,30.0,73.0,43.0,58.0,57.0,13.0,30.0,43.0,67.0,69.0
AERO,,96.0,40.0,95.0,15.0,13.0,93.0,97.0,,89.0,11.0,1.0
TRIBO-B,,67.0,29.0,22.0,23.0,31.0,52.0,,,90.0,6.0,16.0
CIRCHE,,94.0,53.0,33.0,53.0,57.0,56.0,,,47.0,12.0,13.0
DE,46.0,1.0,100.0,98.0,99.0,46.0,80.0,,30.0,5.0,50.0,74.0
GIGA,,61.0,21.0,81.0,39.0,52.0,93.0,75.0,,83.0,9.0,30.0
MASHUP,,74.0,25.0,30.0,0.0,20.0,98.0,,,11.0,6.0,17.0
ARCT,,,40.0,6.0,,,45.0,99.0,,84.0,19.0,95.0
BIOEX,,13.0,40.0,3.0,11.0,6.0,21.0,,,94.0,50.0,49.0
BOTX,,,86.0,83.0,71.0,30.0,37.0,,,65.0,18.0,34.0
DMXSE-SDB,,,40.0,6.0,29.0,24.0,1.0,,,96.0,98.0,
FNMC-SDB,,,40.0,6.0,7.0,5.0,3.0,,,5.0,57.0,
LEMSE,,,40.0,6.0,33.0,30.0,11.0,,,71.0,5.0,89.0
LUC,,17.0,88.0,58.0,88.0,83.0,41.0,78.0,,39.0,6.0,7.0
NIO,,,40.0,6.0,36.0,31.0,77.0,,,90.0,3.0,21.0
ADVBOX,,13.0,40.0,25.0,1.0,0.0,96.0,80.0,,0.0,3.0,1.0
BBROOM,,42.0,33.0,61.0,33.0,33.0,70.0,,,100.0,88.0,32.0
CANDLE-B,,65.0,33.0,5.0,37.0,45.0,39.0,,,7.0,91.0,85.0
CDON,,21.0,19.0,86.0,30.0,29.0,71.0,100.0,,64.0,16.0,11.0
CEDER,54.0,87.0,45.0,26.0,70.0,81.0,42.0,31.0,47.0,30.0,38.0,84.0
CLEMO,,88.0,40.0,1.0,16.0,14.0,57.0,,,25.0,89.0,94.0
DSNO,,27.0,33.0,91.0,35.0,67.0,94.0,78.0,,92.0,10.0,6.0
ALBERT,,33.0,12.0,57.0,13.0,14.0,75.0,85.0,,20.0,24.0,56.0
ELLWEE,,19.0,48.0,9.0,99.0,88.0,29.0,,,5.0,40.0,96.0
EMB,,94.0,24.0,100.0,22.0,31.0,36.0,,,3.0,19.0,74.0
ENVAR,,91.0,86.0,69.0,,,30.0,,,23.0,92.0,
FRAG,,11.0,15.0,49.0,15.0,22.0,68.0,6.0,,10.0,99.0,85.0
FSPORT,,7.0,5.0,71.0,24.0,20.0,82.0,,,86.0,11.0,95.0
GCOR,,91.0,10.0,9.0,2.0,5.0,18.0,3.0,,98.0,88.0,91.0
GBK,,84.0,21.0,88.0,,9.0,98.0,86.0,,35.0,15.0,55.0
HOTEL,,43.0,13.0,67.0,0.0,35.0,97.0,,,83.0,90.0,2.0
KAKEL,,66.0,32.0,33.0,34.0,33.0,88.0,,,51.0,16.0,36.0
KAMBI,6.0,34.0,68.0,99.0,65.0,78.0,5.0,19.0,,54.0,87.0,69.0
BRAVE,,,40.0,6.0,,,,,,97.0,60.0,17.0
KJELL,,32.0,38.0,44.0,44.0,45.0,91.0,66.0,,87.0,92.0,26.0
MOBA,,35.0,37.0,27.0,45.0,62.0,90.0,76.0,,14.0,16.0,19.0
MAV,,3.0,6.0,36.0,,13.0,96.0,,,15.0,2.0,2.0
MAXENT-B,,15.0,13.0,29.0,12.0,38.0,89.0,,,75.0,25.0,4.0
NANOC-B,,57.0,13.0,35.0,26.0,34.0,87.0,,,53.0,42.0,24.0
BOAT,,23.0,29.0,12.0,35.0,38.0,87.0,77.0,,15.0,48.0,34.0
NITRO,19.0,28.0,56.0,81.0,88.0,77.0,9.0,83.0,,85.0,20.0,11.0
NREST,44.0,57.0,64.0,29.0,100.0,98.0,10.0,46.0,45.0,45.0,89.0,92.0
NBZ,,77.0,27.0,30.0,28.0,34.0,84.0,,,84.0,5.0,46.0
OBAB,,68.0,35.0,58.0,40.0,53.0,56.0,,,10.0,16.0,48.0
QIIWI,,19.0,18.0,94.0,27.0,20.0,56.0,,,24.0,99.0,13.0
REALFI,,8.0,8.0,82.0,22.0,22.0,33.0,,,56.0,2.0,11.0
REFINE,,11.0,11.0,22.0,9.0,18.0,95.0,,,9.0,10.0,5.0
SBOK,89.0,68.0,65.0,55.0,72.0,82.0,82.0,,76.0,44.0,53.0,83.0
SCOUT,,85.0,24.0,40.0,28.0,32.0,33.0,,,97.0,94.0,78.0
SKOLON,,80.0,34.0,10.0,27.0,33.0,1.0,12.0,26.0,45.0,70.0,58.0
SOZAP,,13.0,14.0,96.0,21.0,16.0,87.0,,,92.0,75.0,81.0
STORY-B,,53.0,64.0,52.0,86.0,87.0,23.0,94.0,,79.0,50.0,86.0
BUY,,,40.0,6.0,,,,,,37.0,25.0,26.0
SODER,,62.0,54.0,42.0,68.0,75.0,36.0,,40.0,58.0,77.0,73.0
TELLUS,,58.0,35.0,96.0,,37.0,99.0,,,29.0,22.0,18.0
TOURN,,32.0,21.0,7.0,11.0,10.0,41.0,61.0,,9.0,7.0,22.0
UTG,,58.0,48.0,21.0,98.0,73.0,22.0,,36.0,41.0,56.0,81.0
USWE,,72.0,26.0,66.0,27.0,30.0,64.0,,,89.0,94.0,72.0
ACCON,,70.0,12.0,71.0,35.0,30.0,57.0,8.0,,55.0,62.0,64.0
PADEL,,,40.0,6.0,,,,,,11.0,8.0,9.0
ADTR,,37.0,36.0,8.0,38.0,36.0,52.0,98.0,89.0,80.0,13.0,32.0
AVT-B,71.0,78.0,91.0,73.0,92.0,97.0,13.0,38.0,13.0,27.0,39.0,95.0
BUSER,,22.0,6.0,86.0,18.0,13.0,78.0,84.0,,4.0,94.0,27.0
BEAMMW-B,,66.0,6.0,97.0,24.0,18.0,22.0,,,48.0,92.0,99.0
BIM,,57.0,22.0,19.0,32.0,29.0,23.0,92.0,,31.0,8.0,88.0
BINERO,,16.0,52.0,10.0,88.0,46.0,45.0,67.0,,19.0,44.0,37.0
BRILL,,37.0,29.0,23.0,31.0,31.0,49.0,,,42.0,17.0,60.0
CHARGE,,19.0,9.0,4.0,5.0,9.0,14.0,,,98.0,94.0,49.0
CHECK,,25.0,20.0,26.0,34.0,30.0,62.0,17.0,,10.0,10.0,9.0
CLAV,,70.0,23.0,85.0,,36.0,99.0,99.0,,19.0,19.0,98.0
CDMIL,12.0,23.0,72.0,95.0,83.0,82.0,28.0,,44.0,59.0,45.0,72.0
COMPDM,,81.0,22.0,59.0,41.0,37.0,73.0,,,12.0,35.0,38.0
CFISH,,6.0,2.0,4.0,16.0,13.0,22.0,,,89.0,99.0,98.0
DIAH,,14.0,31.0,48.0,28.0,29.0,22.0,,95.0,29.0,15.0,29.0
DIVIO-B,,80.0,15.0,32.0,1.0,15.0,9.0,,,75.0,6.0,29.0
DONE,,1.0,100.0,46.0,100.0,28.0,89.0,,100.0,32.0,7.0,96.0
ENERS,,12.0,40.0,15.0,1.0,1.0,,,,1.0,94.0,4.0
EXS,59.0,61.0,68.0,29.0,79.0,83.0,30.0,28.0,17.0,55.0,79.0,45.0
FLEXM,,30.0,33.0,17.0,32.0,24.0,7.0,,,94.0,79.0,13.0
FLOWS,,54.0,35.0,51.0,39.0,,32.0,24.0,,52.0,18.0,65.0
FRAM-B,,22.0,8.0,4.0,12.0,19.0,16.0,,,62.0,2.0,9.0
GENI,74.0,52.0,83.0,26.0,98.0,99.0,12.0,25.0,47.0,42.0,20.0,75.0
GREAT,,4.0,14.0,34.0,19.0,23.0,20.0,66.0,,15.0,5.0,10.0
HDW-B,,79.0,12.0,22.0,3.0,15.0,67.0,,,3.0,1.0,87.0
HIFA-B,40.0,31.0,69.0,75.0,94.0,93.0,45.0,50.0,,14.0,49.0,62.0
INSP,,34.0,40.0,97.0,12.0,9.0,73.0,81.0,,93.0,11.0,22.0
IRIS,,13.0,2.0,85.0,21.0,15.0,96.0,81.0,,2.0,66.0,3.0
JLT,60.0,34.0,28.0,51.0,33.0,28.0,65.0,70.0,,4.0,9.0,32.0
K33,,96.0,37.0,6.0,19.0,26.0,2.0,,,6.0,97.0,97.0
KENH,,74.0,38.0,64.0,45.0,50.0,42.0,,,54.0,69.0,84.0
KLIMAT,,38.0,25.0,6.0,0.0,29.0,0.0,,,3.0,85.0,73.0
LITI,,52.0,41.0,71.0,48.0,42.0,40.0,7.0,,96.0,84.0,88.0
LOYAL,,28.0,18.0,27.0,,16.0,97.0,,,3.0,21.0,3.0
MODEL,,60.0,11.0,4.0,6.0,9.0,17.0,,,99.0,68.0,
NEO-B,,,40.0,6.0,,,,,,1.0,4.0,35.0
NOSA,,84.0,13.0,80.0,20.0,16.0,11.0,0.0,,97.0,12.0,58.0
OBSE,,,40.0,6.0,,,,,,95.0,31.0,88.0
OODA,,92.0,40.0,100.0,12.0,17.0,53.0,,,94.0,10.0,75.0
OPTER,41.0,62.0,85.0,56.0,98.0,99.0,7.0,,45.0,46.0,52.0,39.0
QLOSR-B,,0.0,40.0,6.0,,43.0,90.0,80.0,,1.0,32.0,5.0
QCORE,,14.0,7.0,2.0,25.0,20.0,96.0,,,1.0,1.0,1.0
RPLAN,,30.0,11.0,97.0,,5.0,98.0,,,100.0,10.0,18.0
RIGHTB,,9.0,40.0,99.0,,1.0,97.0,,,1.0,100.0,31.0
SFTR,,58.0,47.0,40.0,56.0,48.0,16.0,,,12.0,47.0,27.0
SONE,,51.0,22.0,38.0,32.0,35.0,43.0,,,85.0,99.0,91.0
SPEONE,,6.0,100.0,3.0,99.0,14.0,75.0,66.0,,17.0,19.0,25.0
SPOTR,,12.0,1.0,4.0,7.0,3.0,62.0,,,79.0,18.0,5.0
TENEO,,80.0,10.0,20.0,,10.0,97.0,88.0,,5.0,86.0,85.0
UNIBAP,61.0,86.0,63.0,58.0,61.0,71.0,38.0,,,56.0,81.0,94.0
UPSALE,21.0,38.0,75.0,65.0,98.0,95.0,5.0,24.0,70.0,88.0,72.0,48.0
VERT-B,11.0,91.0,66.0,31.0,65.0,71.0,39.0,16.0,,79.0,77.0,65.0
VO2,,36.0,24.0,16.0,26.0,33.0,81.0,44.0,,12.0,93.0,53.0
VUXEN,,48.0,42.0,41.0,54.0,62.0,63.0,,,12.0,20.0,
WPTG-B,80.0,67.0,72.0,39.0,,,61.0,,,78.0,80.0,72.0
XMR,,14.0,9.0,8.0,2.0,7.0,60.0,83.0,,90.0,8.0,16.0
ZAPLOX,,73.0,9.0,5.0,6.0,7.0,30.0,,,35.0,4.0,17.0
ALCA,18.0,42.0,47.0,25.0,56.0,61.0,80.0,70.0,,92.0,88.0,12.0
BAHN-B,52.0,56.0,76.0,19.0,95.0,95.0,12.0,21.0,57.0,61.0,63.0,77.0
BRE2,48.0,57.0,64.0,24.0,89.0,86.0,27.0,32.0,66.0,19.0,72.0,82.0
EFFH,,,40.0,6.0,,,,,,8.0,59.0,70.0
GAPW-B,,85.0,11.0,7.0,21.0,22.0,26.0,89.0,,57.0,41.0,28.0
INCOAX,,25.0,18.0,79.0,30.0,24.0,61.0,90.0,,42.0,13.0,26.0
KEBNI-B,12.0,60.0,42.0,59.0,50.0,67.0,13.0,6.0,,93.0,91.0,95.0
LUMEN,5.0,71.0,75.0,69.0,75.0,80.0,35.0,,,24.0,22.0,9.0
MAVEN,,29.0,33.0,56.0,39.0,38.0,30.0,9.0,16.0,90.0,72.0,14.0
TALK,86.0,52.0,65.0,27.0,99.0,98.0,1.0,70.0,,29.0,97.0,94.0
TESSIN,,11.0,2.0,14.0,,25.0,97.0,,,70.0,5.0,9.0
WAYS,,58.0,31.0,54.0,35.0,36.0,24.0,37.0,,90.0,87.0,97.0
WYLD,,80.0,40.0,6.0,,1.0,43.0,,,0.0,1.0,7.0
